Year,rank,Realized CEO compensation,Granted CEO compensation,Decades,rank1,Avg. Realized CEO compensation,Avg. Granted CEO compensation
1993,10,108.6,99.6,1980,96,49.13,36
1994,10,87.4,116.6,1990,96,153.05,154.1
1995,10,117.6,131,2000,96,261.94,253.4
1996,10,150.6,177,2010,96,297.81,208.3
1997,10,223.4,234.1,1960,97,23.28,17
1998,10,297.4,293.4,1970,97,27,19.8
1999,10,266.1,284.4,1980,97,49.13,36
2000,10,365.7,386.1,1990,97,153.05,154.1
2001,10,210.6,322.6,2000,97,261.94,253.4
2002,10,186.8,235,2010,97,297.81,208.3
2003,10,228.8,227,1960,98,23.28,17
2004,10,265.7,235,1970,98,27,19.8
2005,10,318.4,244.5,1980,98,49.13,36
2006,10,328.2,244.1,1990,98,153.05,154.1
2007,10,330.9,242,2000,98,261.94,253.4
2008,10,206.7,219.4,2010,98,297.81,208.3
2009,10,177.6,178.3,1960,99,23.28,17
2010,10,213.1,202.8,1970,99,27,19.8
2011,10,242.4,208.1,1980,99,49.13,36
2012,10,371.7,201.3,1990,99,153.05,154.1
2013,10,318.5,209.7,2000,99,261.94,253.4
2014,10,326.6,217.2,2010,99,297.81,208.3
2015,10,318.8,209.5,1960,100,23.28,17
2016,10,271.6,205.8,1970,100,27,19.8
2017,10,302.1,193.2,1980,100,49.13,36
2018,10,293.3,212.3,1990,100,153.05,154.1
2019,10,320,222.8,2000,100,261.94,253.4
1965,11,21.1,15.4,2010,100,297.81,208.3
1966,11,22.3,16.3,1960,101,23.28,17
1967,11,23.6,17.3,1970,101,27,19.8
1968,11,24.8,18.2,1980,101,49.13,36
1969,11,24.6,18,1990,101,153.05,154.1
1970,11,24.3,17.8,2000,101,261.94,253.4
1971,11,24,17.6,2010,101,297.81,208.3
1972,11,23.7,17.4,1960,102,23.28,17
1973,11,23.4,17.2,1970,102,27,19.8
1974,11,25,18.3,1980,102,49.13,36
1975,11,26.6,19.5,1990,102,153.05,154.1
1976,11,28.2,20.7,2000,102,261.94,253.4
1977,11,29.8,21.8,2010,102,297.81,208.3
1978,11,31.4,23,1960,103,23.28,17
1979,11,34.1,25,1970,103,27,19.8
1980,11,36.9,27,1980,103,49.13,36
1981,11,39.6,29,1990,103,153.05,154.1
1982,11,42.3,31,2000,103,261.94,253.4
1983,11,45,33,2010,103,297.81,208.3
1984,11,47.8,35,1960,104,23.28,17
1985,11,50.5,37,1970,104,27,19.8
1986,11,53.2,39,1980,104,49.13,36
1987,11,55.9,41,1990,104,153.05,154.1
1988,11,58.7,43,2000,104,261.94,253.4
1989,11,61.4,45,2010,104,297.81,208.3
1990,11,77.3,56.6,1960,105,23.28,17
1991,11,93.1,68.2,1970,105,27,19.8
1992,11,109,79.8,1980,105,49.13,36
1993,11,108.6,99.6,1990,105,153.05,154.1
1994,11,87.4,116.6,2000,105,261.94,253.4
1995,11,117.6,131,2010,105,297.81,208.3
1996,11,150.6,177,1960,106,23.28,17
1997,11,223.4,234.1,1970,106,27,19.8
1998,11,297.4,293.4,1980,106,49.13,36
1999,11,266.1,284.4,1990,106,153.05,154.1
2000,11,365.7,386.1,2000,106,261.94,253.4
2001,11,210.6,322.6,2010,106,297.81,208.3
2002,11,186.8,235,1960,107,23.28,17
2003,11,228.8,227,1970,107,27,19.8
2004,11,265.7,235,1980,107,49.13,36
2005,11,318.4,244.5,1990,107,153.05,154.1
2006,11,328.2,244.1,2000,107,261.94,253.4
2007,11,330.9,242,2010,107,297.81,208.3
2008,11,206.7,219.4,1960,108,23.28,17
2009,11,177.6,178.3,1970,108,27,19.8
2010,11,213.1,202.8,1980,108,49.13,36
2011,11,242.4,208.1,1990,108,153.05,154.1
2012,11,371.7,201.3,2000,108,261.94,253.4
2013,11,318.5,209.7,2010,108,297.81,208.3
2014,11,326.6,217.2,1960,109,23.28,17
2015,11,318.8,209.5,1970,109,27,19.8
2016,11,271.6,205.8,1980,109,49.13,36
2017,11,302.1,193.2,1990,109,153.05,154.1
2018,11,293.3,212.3,2000,109,261.94,253.4
2019,11,320,222.8,2010,109,297.81,208.3
1965,12,21.1,15.4,1960,110,23.28,17
1966,12,22.3,16.3,1970,110,27,19.8
1967,12,23.6,17.3,1980,110,49.13,36
1968,12,24.8,18.2,1990,110,153.05,154.1
1969,12,24.6,18,2000,110,261.94,253.4
1970,12,24.3,17.8,2010,110,297.81,208.3
1971,12,24,17.6,1960,111,23.28,17
1972,12,23.7,17.4,1970,111,27,19.8
1973,12,23.4,17.2,1980,111,49.13,36
1974,12,25,18.3,1990,111,153.05,154.1
1975,12,26.6,19.5,2000,111,261.94,253.4
1976,12,28.2,20.7,2010,111,297.81,208.3
1977,12,29.8,21.8,1960,112,23.28,17
1978,12,31.4,23,1970,112,27,19.8
1979,12,34.1,25,1980,112,49.13,36
1980,12,36.9,27,1990,112,153.05,154.1
1981,12,39.6,29,2000,112,261.94,253.4
1982,12,42.3,31,2010,112,297.81,208.3
1983,12,45,33,1960,113,23.28,17
1984,12,47.8,35,1970,113,27,19.8
1985,12,50.5,37,1980,113,49.13,36
1986,12,53.2,39,1990,113,153.05,154.1
1987,12,55.9,41,2000,113,261.94,253.4
1988,12,58.7,43,2010,113,297.81,208.3
1989,12,61.4,45,1960,114,23.28,17
1990,12,77.3,56.6,1970,114,27,19.8
1991,12,93.1,68.2,1980,114,49.13,36
1992,12,109,79.8,1990,114,153.05,154.1
1993,12,108.6,99.6,2000,114,261.94,253.4
1994,12,87.4,116.6,2010,114,297.81,208.3
1995,12,117.6,131,1960,115,23.28,17
1996,12,150.6,177,1970,115,27,19.8
1997,12,223.4,234.1,1980,115,49.13,36
1998,12,297.4,293.4,1990,115,153.05,154.1
1999,12,266.1,284.4,2000,115,261.94,253.4
2000,12,365.7,386.1,2010,115,297.81,208.3
2001,12,210.6,322.6,1960,116,23.28,17
2002,12,186.8,235,1970,116,27,19.8
2003,12,228.8,227,1980,116,49.13,36
2004,12,265.7,235,1990,116,153.05,154.1
2005,12,318.4,244.5,2000,116,261.94,253.4
2006,12,328.2,244.1,2010,116,297.81,208.3
2007,12,330.9,242,1960,117,23.28,17
2008,12,206.7,219.4,1970,117,27,19.8
2009,12,177.6,178.3,1980,117,49.13,36
2010,12,213.1,202.8,1990,117,153.05,154.1
2011,12,242.4,208.1,2000,117,261.94,253.4
2012,12,371.7,201.3,2010,117,297.81,208.3
2013,12,318.5,209.7,1960,118,23.28,17
2014,12,326.6,217.2,1970,118,27,19.8
2015,12,318.8,209.5,1980,118,49.13,36
2016,12,271.6,205.8,1990,118,153.05,154.1
2017,12,302.1,193.2,2000,118,261.94,253.4
2018,12,293.3,212.3,2010,118,297.81,208.3
2019,12,320,222.8,1960,119,23.28,17
1965,13,21.1,15.4,1970,119,27,19.8
1966,13,22.3,16.3,1980,119,49.13,36
1967,13,23.6,17.3,1990,119,153.05,154.1
1968,13,24.8,18.2,2000,119,261.94,253.4
1969,13,24.6,18,2010,119,297.81,208.3
1970,13,24.3,17.8,1960,120,23.28,17
1971,13,24,17.6,1970,120,27,19.8
1972,13,23.7,17.4,1980,120,49.13,36
1973,13,23.4,17.2,1990,120,153.05,154.1
1974,13,25,18.3,2000,120,261.94,253.4
1975,13,26.6,19.5,2010,120,297.81,208.3
1976,13,28.2,20.7,1960,121,23.28,17
1977,13,29.8,21.8,1970,121,27,19.8
1978,13,31.4,23,1980,121,49.13,36
1979,13,34.1,25,1990,121,153.05,154.1
1980,13,36.9,27,2000,121,261.94,253.4
1981,13,39.6,29,2010,121,297.81,208.3
1982,13,42.3,31,1960,122,23.28,17
1983,13,45,33,1970,122,27,19.8
1984,13,47.8,35,1980,122,49.13,36
1985,13,50.5,37,1990,122,153.05,154.1
1986,13,53.2,39,2000,122,261.94,253.4
1987,13,55.9,41,2010,122,297.81,208.3
1988,13,58.7,43,1960,123,23.28,17
1989,13,61.4,45,1970,123,27,19.8
1990,13,77.3,56.6,1980,123,49.13,36
1991,13,93.1,68.2,1990,123,153.05,154.1
1992,13,109,79.8,2000,123,261.94,253.4
1993,13,108.6,99.6,2010,123,297.81,208.3
1994,13,87.4,116.6,1960,124,23.28,17
1995,13,117.6,131,1970,124,27,19.8
1996,13,150.6,177,1980,124,49.13,36
1997,13,223.4,234.1,1990,124,153.05,154.1
1998,13,297.4,293.4,2000,124,261.94,253.4
1999,13,266.1,284.4,2010,124,297.81,208.3
2000,13,365.7,386.1,1960,125,23.28,17
2001,13,210.6,322.6,1970,125,27,19.8
2002,13,186.8,235,1980,125,49.13,36
2003,13,228.8,227,1990,125,153.05,154.1
2004,13,265.7,235,2000,125,261.94,253.4
2005,13,318.4,244.5,2010,125,297.81,208.3
2006,13,328.2,244.1,1960,126,23.28,17
2007,13,330.9,242,1970,126,27,19.8
2008,13,206.7,219.4,1980,126,49.13,36
2009,13,177.6,178.3,1990,126,153.05,154.1
2010,13,213.1,202.8,2000,126,261.94,253.4
2011,13,242.4,208.1,2010,126,297.81,208.3
2012,13,371.7,201.3,1960,127,23.28,17
2013,13,318.5,209.7,1970,127,27,19.8
2014,13,326.6,217.2,1980,127,49.13,36
2015,13,318.8,209.5,1990,127,153.05,154.1
2016,13,271.6,205.8,2000,127,261.94,253.4
2017,13,302.1,193.2,2010,127,297.81,208.3
2018,13,293.3,212.3,1960,128,23.28,17
2019,13,320,222.8,1970,128,27,19.8
1965,14,21.1,15.4,1980,128,49.13,36
1966,14,22.3,16.3,1990,128,153.05,154.1
1967,14,23.6,17.3,2000,128,261.94,253.4
1968,14,24.8,18.2,2010,128,297.81,208.3
1969,14,24.6,18,1960,129,23.28,17
1970,14,24.3,17.8,1970,129,27,19.8
1971,14,24,17.6,1980,129,49.13,36
1972,14,23.7,17.4,1990,129,153.05,154.1
1973,14,23.4,17.2,2000,129,261.94,253.4
1974,14,25,18.3,2010,129,297.81,208.3
1975,14,26.6,19.5,1960,130,23.28,17
1976,14,28.2,20.7,1970,130,27,19.8
1977,14,29.8,21.8,1980,130,49.13,36
1978,14,31.4,23,1990,130,153.05,154.1
1979,14,34.1,25,2000,130,261.94,253.4
1980,14,36.9,27,2010,130,297.81,208.3
1981,14,39.6,29,1960,131,23.28,17
1982,14,42.3,31,1970,131,27,19.8
1983,14,45,33,1980,131,49.13,36
1984,14,47.8,35,1990,131,153.05,154.1
1985,14,50.5,37,2000,131,261.94,253.4
1986,14,53.2,39,2010,131,297.81,208.3
1987,14,55.9,41,1960,132,23.28,17
1988,14,58.7,43,1970,132,27,19.8
1989,14,61.4,45,1980,132,49.13,36
1990,14,77.3,56.6,1990,132,153.05,154.1
1991,14,93.1,68.2,2000,132,261.94,253.4
1992,14,109,79.8,2010,132,297.81,208.3
1993,14,108.6,99.6,1960,133,23.28,17
1994,14,87.4,116.6,1970,133,27,19.8
1995,14,117.6,131,1980,133,49.13,36
1996,14,150.6,177,1990,133,153.05,154.1
1997,14,223.4,234.1,2000,133,261.94,253.4
1998,14,297.4,293.4,2010,133,297.81,208.3
1999,14,266.1,284.4,1960,134,23.28,17
2000,14,365.7,386.1,1970,134,27,19.8
2001,14,210.6,322.6,1980,134,49.13,36
2002,14,186.8,235,1990,134,153.05,154.1
2003,14,228.8,227,2000,134,261.94,253.4
2004,14,265.7,235,2010,134,297.81,208.3
2005,14,318.4,244.5,1960,135,23.28,17
2006,14,328.2,244.1,1970,135,27,19.8
2007,14,330.9,242,1980,135,49.13,36
2008,14,206.7,219.4,1990,135,153.05,154.1
2009,14,177.6,178.3,2000,135,261.94,253.4
2010,14,213.1,202.8,2010,135,297.81,208.3
2011,14,242.4,208.1,1960,136,23.28,17
2012,14,371.7,201.3,1970,136,27,19.8
2013,14,318.5,209.7,1980,136,49.13,36
2014,14,326.6,217.2,1990,136,153.05,154.1
2015,14,318.8,209.5,2000,136,261.94,253.4
2016,14,271.6,205.8,2010,136,297.81,208.3
2017,14,302.1,193.2,1960,137,23.28,17
2018,14,293.3,212.3,1970,137,27,19.8
2019,14,320,222.8,1980,137,49.13,36
1965,15,21.1,15.4,1990,137,153.05,154.1
1966,15,22.3,16.3,2000,137,261.94,253.4
1967,15,23.6,17.3,2010,137,297.81,208.3
1968,15,24.8,18.2,1960,138,23.28,17
1969,15,24.6,18,1970,138,27,19.8
1970,15,24.3,17.8,1980,138,49.13,36
1971,15,24,17.6,1990,138,153.05,154.1
1972,15,23.7,17.4,2000,138,261.94,253.4
1973,15,23.4,17.2,2010,138,297.81,208.3
1974,15,25,18.3,1960,139,23.28,17
1975,15,26.6,19.5,1970,139,27,19.8
1976,15,28.2,20.7,1980,139,49.13,36
1977,15,29.8,21.8,1990,139,153.05,154.1
1978,15,31.4,23,2000,139,261.94,253.4
1979,15,34.1,25,2010,139,297.81,208.3
1980,15,36.9,27,1960,140,23.28,17
1981,15,39.6,29,1970,140,27,19.8
1982,15,42.3,31,1980,140,49.13,36
1983,15,45,33,1990,140,153.05,154.1
1984,15,47.8,35,2000,140,261.94,253.4
1985,15,50.5,37,2010,140,297.81,208.3
1986,15,53.2,39,1960,141,23.28,17
1987,15,55.9,41,1970,141,27,19.8
1988,15,58.7,43,1980,141,49.13,36
1989,15,61.4,45,1990,141,153.05,154.1
1990,15,77.3,56.6,2000,141,261.94,253.4
1991,15,93.1,68.2,2010,141,297.81,208.3
1992,15,109,79.8,1960,142,23.28,17
1993,15,108.6,99.6,1970,142,27,19.8
1994,15,87.4,116.6,1980,142,49.13,36
1995,15,117.6,131,1990,142,153.05,154.1
1996,15,150.6,177,2000,142,261.94,253.4
1997,15,223.4,234.1,2010,142,297.81,208.3
1998,15,297.4,293.4,1960,143,23.28,17
1999,15,266.1,284.4,1970,143,27,19.8
2000,15,365.7,386.1,1980,143,49.13,36
2001,15,210.6,322.6,1990,143,153.05,154.1
2002,15,186.8,235,2000,143,261.94,253.4
2003,15,228.8,227,2010,143,297.81,208.3
2004,15,265.7,235,1960,144,23.28,17
2005,15,318.4,244.5,1970,144,27,19.8
2006,15,328.2,244.1,1980,144,49.13,36
2007,15,330.9,242,1990,144,153.05,154.1
2008,15,206.7,219.4,2000,144,261.94,253.4
2009,15,177.6,178.3,2010,144,297.81,208.3
2010,15,213.1,202.8,1960,145,23.28,17
2011,15,242.4,208.1,1970,145,27,19.8
2012,15,371.7,201.3,1980,145,49.13,36
2013,15,318.5,209.7,1990,145,153.05,154.1
2014,15,326.6,217.2,2000,145,261.94,253.4
2015,15,318.8,209.5,2010,145,297.81,208.3
2016,15,271.6,205.8,1960,146,23.28,17
2017,15,302.1,193.2,1970,146,27,19.8
2018,15,293.3,212.3,1980,146,49.13,36
2019,15,320,222.8,1990,146,153.05,154.1
1965,16,21.1,15.4,2000,146,261.94,253.4
1966,16,22.3,16.3,2010,146,297.81,208.3
1967,16,23.6,17.3,1960,147,23.28,17
1968,16,24.8,18.2,1970,147,27,19.8
1969,16,24.6,18,1980,147,49.13,36
1970,16,24.3,17.8,1990,147,153.05,154.1
1971,16,24,17.6,2000,147,261.94,253.4
1972,16,23.7,17.4,2010,147,297.81,208.3
1973,16,23.4,17.2,1960,148,23.28,17
1974,16,25,18.3,1970,148,27,19.8
1975,16,26.6,19.5,1980,148,49.13,36
1976,16,28.2,20.7,1990,148,153.05,154.1
1977,16,29.8,21.8,2000,148,261.94,253.4
1978,16,31.4,23,2010,148,297.81,208.3
1979,16,34.1,25,1960,149,23.28,17
1980,16,36.9,27,1970,149,27,19.8
1981,16,39.6,29,1980,149,49.13,36
1982,16,42.3,31,1990,149,153.05,154.1
1983,16,45,33,2000,149,261.94,253.4
1984,16,47.8,35,2010,149,297.81,208.3
1985,16,50.5,37,1960,150,23.28,17
1986,16,53.2,39,1970,150,27,19.8
1987,16,55.9,41,1980,150,49.13,36
1988,16,58.7,43,1990,150,153.05,154.1
1989,16,61.4,45,2000,150,261.94,253.4
1990,16,77.3,56.6,2010,150,297.81,208.3
1991,16,93.1,68.2,1960,151,23.28,17
1992,16,109,79.8,1970,151,27,19.8
1993,16,108.6,99.6,1980,151,49.13,36
1994,16,87.4,116.6,1990,151,153.05,154.1
1995,16,117.6,131,2000,151,261.94,253.4
1996,16,150.6,177,2010,151,297.81,208.3
1997,16,223.4,234.1,1960,152,23.28,17
1998,16,297.4,293.4,1970,152,27,19.8
1999,16,266.1,284.4,1980,152,49.13,36
2000,16,365.7,386.1,1990,152,153.05,154.1
2001,16,210.6,322.6,2000,152,261.94,253.4
2002,16,186.8,235,2010,152,297.81,208.3
2003,16,228.8,227,1960,153,23.28,17
2004,16,265.7,235,1970,153,27,19.8
2005,16,318.4,244.5,1980,153,49.13,36
2006,16,328.2,244.1,1990,153,153.05,154.1
2007,16,330.9,242,2000,153,261.94,253.4
2008,16,206.7,219.4,2010,153,297.81,208.3
2009,16,177.6,178.3,1960,154,23.28,17
2010,16,213.1,202.8,1970,154,27,19.8
2011,16,242.4,208.1,1980,154,49.13,36
2012,16,371.7,201.3,1990,154,153.05,154.1
2013,16,318.5,209.7,2000,154,261.94,253.4
2014,16,326.6,217.2,2010,154,297.81,208.3
2015,16,318.8,209.5,1960,155,23.28,17
2016,16,271.6,205.8,1970,155,27,19.8
2017,16,302.1,193.2,1980,155,49.13,36
2018,16,293.3,212.3,1990,155,153.05,154.1
2019,16,320,222.8,2000,155,261.94,253.4
1965,17,21.1,15.4,2010,155,297.81,208.3
1966,17,22.3,16.3,1960,156,23.28,17
1967,17,23.6,17.3,1970,156,27,19.8
1968,17,24.8,18.2,1980,156,49.13,36
1969,17,24.6,18,1990,156,153.05,154.1
1970,17,24.3,17.8,2000,156,261.94,253.4
1971,17,24,17.6,2010,156,297.81,208.3
1972,17,23.7,17.4,1960,157,23.28,17
1973,17,23.4,17.2,1970,157,27,19.8
1974,17,25,18.3,1980,157,49.13,36
1975,17,26.6,19.5,1990,157,153.05,154.1
1976,17,28.2,20.7,2000,157,261.94,253.4
1977,17,29.8,21.8,2010,157,297.81,208.3
1978,17,31.4,23,1960,158,23.28,17
1979,17,34.1,25,1970,158,27,19.8
1980,17,36.9,27,1980,158,49.13,36
1981,17,39.6,29,1990,158,153.05,154.1
1982,17,42.3,31,2000,158,261.94,253.4
1983,17,45,33,2010,158,297.81,208.3
1984,17,47.8,35,1960,159,23.28,17
1985,17,50.5,37,1970,159,27,19.8
1986,17,53.2,39,1980,159,49.13,36
1987,17,55.9,41,1990,159,153.05,154.1
1988,17,58.7,43,2000,159,261.94,253.4
1989,17,61.4,45,2010,159,297.81,208.3
1990,17,77.3,56.6,1960,160,23.28,17
1991,17,93.1,68.2,1970,160,27,19.8
1992,17,109,79.8,1980,160,49.13,36
1993,17,108.6,99.6,1990,160,153.05,154.1
1994,17,87.4,116.6,2000,160,261.94,253.4
1995,17,117.6,131,2010,160,297.81,208.3
1996,17,150.6,177,1960,161,23.28,17
1997,17,223.4,234.1,1970,161,27,19.8
1998,17,297.4,293.4,1980,161,49.13,36
1999,17,266.1,284.4,1990,161,153.05,154.1
2000,17,365.7,386.1,2000,161,261.94,253.4
2001,17,210.6,322.6,2010,161,297.81,208.3
2002,17,186.8,235,1960,162,23.28,17
2003,17,228.8,227,1970,162,27,19.8
2004,17,265.7,235,1980,162,49.13,36
2005,17,318.4,244.5,1990,162,153.05,154.1
2006,17,328.2,244.1,2000,162,261.94,253.4
2007,17,330.9,242,2010,162,297.81,208.3
2008,17,206.7,219.4,1960,163,23.28,17
2009,17,177.6,178.3,1970,163,27,19.8
2010,17,213.1,202.8,1980,163,49.13,36
2011,17,242.4,208.1,1990,163,153.05,154.1
2012,17,371.7,201.3,2000,163,261.94,253.4
2013,17,318.5,209.7,2010,163,297.81,208.3
2014,17,326.6,217.2,1960,164,23.28,17
2015,17,318.8,209.5,1970,164,27,19.8
2016,17,271.6,205.8,1980,164,49.13,36
2017,17,302.1,193.2,1990,164,153.05,154.1
2018,17,293.3,212.3,2000,164,261.94,253.4
2019,17,320,222.8,2010,164,297.81,208.3
1965,18,21.1,15.4,1960,165,23.28,17
1966,18,22.3,16.3,1970,165,27,19.8
1967,18,23.6,17.3,1980,165,49.13,36
1968,18,24.8,18.2,1990,165,153.05,154.1
1969,18,24.6,18,2000,165,261.94,253.4
1970,18,24.3,17.8,2010,165,297.81,208.3
1971,18,24,17.6,1960,166,23.28,17
1972,18,23.7,17.4,1970,166,27,19.8
1973,18,23.4,17.2,1980,166,49.13,36
1974,18,25,18.3,1990,166,153.05,154.1
1975,18,26.6,19.5,2000,166,261.94,253.4
1976,18,28.2,20.7,2010,166,297.81,208.3
1977,18,29.8,21.8,1960,167,23.28,17
1978,18,31.4,23,1970,167,27,19.8
1979,18,34.1,25,1980,167,49.13,36
1980,18,36.9,27,1990,167,153.05,154.1
1981,18,39.6,29,2000,167,261.94,253.4
1982,18,42.3,31,2010,167,297.81,208.3
1983,18,45,33,1960,168,23.28,17
1984,18,47.8,35,1970,168,27,19.8
1985,18,50.5,37,1980,168,49.13,36
1986,18,53.2,39,1990,168,153.05,154.1
1987,18,55.9,41,2000,168,261.94,253.4
1988,18,58.7,43,2010,168,297.81,208.3
1989,18,61.4,45,1960,169,23.28,17
1990,18,77.3,56.6,1970,169,27,19.8
1991,18,93.1,68.2,1980,169,49.13,36
1992,18,109,79.8,1990,169,153.05,154.1
1993,18,108.6,99.6,2000,169,261.94,253.4
1994,18,87.4,116.6,2010,169,297.81,208.3
1995,18,117.6,131,1960,170,23.28,17
1996,18,150.6,177,1970,170,27,19.8
1997,18,223.4,234.1,1980,170,49.13,36
1998,18,297.4,293.4,1990,170,153.05,154.1
1999,18,266.1,284.4,2000,170,261.94,253.4
2000,18,365.7,386.1,2010,170,297.81,208.3
2001,18,210.6,322.6,1960,171,23.28,17
2002,18,186.8,235,1970,171,27,19.8
2003,18,228.8,227,1980,171,49.13,36
2004,18,265.7,235,1990,171,153.05,154.1
2005,18,318.4,244.5,2000,171,261.94,253.4
2006,18,328.2,244.1,2010,171,297.81,208.3
2007,18,330.9,242,1960,172,23.28,17
2008,18,206.7,219.4,1970,172,27,19.8
2009,18,177.6,178.3,1980,172,49.13,36
2010,18,213.1,202.8,1990,172,153.05,154.1
2011,18,242.4,208.1,2000,172,261.94,253.4
2012,18,371.7,201.3,2010,172,297.81,208.3
2013,18,318.5,209.7,1960,173,23.28,17
2014,18,326.6,217.2,1970,173,27,19.8
2015,18,318.8,209.5,1980,173,49.13,36
2016,18,271.6,205.8,1990,173,153.05,154.1
2017,18,302.1,193.2,2000,173,261.94,253.4
2018,18,293.3,212.3,2010,173,297.81,208.3
2019,18,320,222.8,1960,174,23.28,17
1965,19,21.1,15.4,1970,174,27,19.8
1966,19,22.3,16.3,1980,174,49.13,36
1967,19,23.6,17.3,1990,174,153.05,154.1
1968,19,24.8,18.2,2000,174,261.94,253.4
1969,19,24.6,18,2010,174,297.81,208.3
1970,19,24.3,17.8,1960,175,23.28,17
1971,19,24,17.6,1970,175,27,19.8
1972,19,23.7,17.4,1980,175,49.13,36
1973,19,23.4,17.2,1990,175,153.05,154.1
1974,19,25,18.3,2000,175,261.94,253.4
1975,19,26.6,19.5,2010,175,297.81,208.3
1976,19,28.2,20.7,1960,176,23.28,17
1977,19,29.8,21.8,1970,176,27,19.8
1978,19,31.4,23,1980,176,49.13,36
1979,19,34.1,25,1990,176,153.05,154.1
1980,19,36.9,27,2000,176,261.94,253.4
1981,19,39.6,29,2010,176,297.81,208.3
1982,19,42.3,31,1960,177,23.28,17
1983,19,45,33,1970,177,27,19.8
1984,19,47.8,35,1980,177,49.13,36
1985,19,50.5,37,1990,177,153.05,154.1
1986,19,53.2,39,2000,177,261.94,253.4
1987,19,55.9,41,2010,177,297.81,208.3
1988,19,58.7,43,1960,178,23.28,17
1989,19,61.4,45,1970,178,27,19.8
1990,19,77.3,56.6,1980,178,49.13,36
1991,19,93.1,68.2,1990,178,153.05,154.1
1992,19,109,79.8,2000,178,261.94,253.4
1993,19,108.6,99.6,2010,178,297.81,208.3
1994,19,87.4,116.6,1960,179,23.28,17
1995,19,117.6,131,1970,179,27,19.8
1996,19,150.6,177,1980,179,49.13,36
1997,19,223.4,234.1,1990,179,153.05,154.1
1998,19,297.4,293.4,2000,179,261.94,253.4
1999,19,266.1,284.4,2010,179,297.81,208.3
2000,19,365.7,386.1,1960,180,23.28,17
2001,19,210.6,322.6,1970,180,27,19.8
2002,19,186.8,235,1980,180,49.13,36
2003,19,228.8,227,1990,180,153.05,154.1
2004,19,265.7,235,2000,180,261.94,253.4
2005,19,318.4,244.5,2010,180,297.81,208.3
2006,19,328.2,244.1,1960,181,23.28,17
2007,19,330.9,242,1970,181,27,19.8
2008,19,206.7,219.4,1980,181,49.13,36
2009,19,177.6,178.3,1990,181,153.05,154.1
2010,19,213.1,202.8,2000,181,261.94,253.4
2011,19,242.4,208.1,2010,181,297.81,208.3
2012,19,371.7,201.3,1960,182,23.28,17
2013,19,318.5,209.7,1970,182,27,19.8
2014,19,326.6,217.2,1980,182,49.13,36
2015,19,318.8,209.5,1990,182,153.05,154.1
2016,19,271.6,205.8,2000,182,261.94,253.4
2017,19,302.1,193.2,2010,182,297.81,208.3
2018,19,293.3,212.3,1960,183,23.28,17
2019,19,320,222.8,1970,183,27,19.8
1965,20,21.1,15.4,1980,183,49.13,36
1966,20,22.3,16.3,1990,183,153.05,154.1
1967,20,23.6,17.3,2000,183,261.94,253.4
1968,20,24.8,18.2,2010,183,297.81,208.3
1969,20,24.6,18,1960,184,23.28,17
1970,20,24.3,17.8,1970,184,27,19.8
1971,20,24,17.6,1980,184,49.13,36
1972,20,23.7,17.4,1990,184,153.05,154.1
1973,20,23.4,17.2,2000,184,261.94,253.4
1974,20,25,18.3,2010,184,297.81,208.3
1975,20,26.6,19.5,1960,185,23.28,17
1976,20,28.2,20.7,1970,185,27,19.8
1977,20,29.8,21.8,1980,185,49.13,36
1978,20,31.4,23,1990,185,153.05,154.1
1979,20,34.1,25,2000,185,261.94,253.4
1980,20,36.9,27,2010,185,297.81,208.3
1981,20,39.6,29,1960,186,23.28,17
1982,20,42.3,31,1970,186,27,19.8
1983,20,45,33,1980,186,49.13,36
1984,20,47.8,35,1990,186,153.05,154.1
1985,20,50.5,37,2000,186,261.94,253.4
1986,20,53.2,39,2010,186,297.81,208.3
1987,20,55.9,41,1960,187,23.28,17
1988,20,58.7,43,1970,187,27,19.8
1989,20,61.4,45,1980,187,49.13,36
1990,20,77.3,56.6,1990,187,153.05,154.1
1991,20,93.1,68.2,2000,187,261.94,253.4
1992,20,109,79.8,2010,187,297.81,208.3
1993,20,108.6,99.6,1960,188,23.28,17
1994,20,87.4,116.6,1970,188,27,19.8
1995,20,117.6,131,1980,188,49.13,36
1996,20,150.6,177,1990,188,153.05,154.1
1997,20,223.4,234.1,2000,188,261.94,253.4
1998,20,297.4,293.4,2010,188,297.81,208.3
1999,20,266.1,284.4,1960,189,23.28,17
2000,20,365.7,386.1,1970,189,27,19.8
2001,20,210.6,322.6,1980,189,49.13,36
2002,20,186.8,235,1990,189,153.05,154.1
2003,20,228.8,227,2000,189,261.94,253.4
2004,20,265.7,235,2010,189,297.81,208.3
2005,20,318.4,244.5,1960,190,23.28,17
2006,20,328.2,244.1,1970,190,27,19.8
2007,20,330.9,242,1980,190,49.13,36
2008,20,206.7,219.4,1990,190,153.05,154.1
2009,20,177.6,178.3,2000,190,261.94,253.4
2010,20,213.1,202.8,2010,190,297.81,208.3
2011,20,242.4,208.1,1960,191,23.28,17
2012,20,371.7,201.3,1970,191,27,19.8
2013,20,318.5,209.7,1980,191,49.13,36
2014,20,326.6,217.2,1990,191,153.05,154.1
2015,20,318.8,209.5,2000,191,261.94,253.4
2016,20,271.6,205.8,2010,191,297.81,208.3
2017,20,302.1,193.2,1960,192,23.28,17
2018,20,293.3,212.3,1970,192,27,19.8
2019,20,320,222.8,1980,192,49.13,36
